,book_title,text,numerical
0,murder on st. mark's place,victoriathompson mystery historical murder on st. mark's place,1.5945
1,the girl with the dragon tattoo,stieglarsson fiction mystery the girl with the dragon tattoo,1.7464999999999997
2,tailored for trouble,mimijeanpamfiloff romance contemporary tailored for trouble,1.5699999999999998
3,sorcery & cecelia: or the enchanted chocolate pot,patriciac.wrede fantasy youngadult sorcery & cecelia: or the enchanted chocolate pot,1.6395
4,"30 days of night, vol. 1","steveniles sequentialart sequentialart 30 days of night, vol. 1",1.3155000000000001
5,stalk me,jilliandodd youngadult romance stalk me,1.633
6,bonk: the curious coupling of science and sex,maryroach nonfiction science bonk: the curious coupling of science and sex,1.4369999999999998
7,leaving paradise,simoneelkeles youngadult romance leaving paradise,1.6285
8,firefight,brandonsanderson fantasy youngadult firefight,1.9805000000000001
9,loki's wolves,k.l.armstrong fantasy fantasy loki's wolves,1.454
10,devil in winter,lisakleypas romance romance devil in winter,1.758
11,mockingjay,suzannecollins youngadult sciencefiction mockingjay,1.7440000000000002
12,dirty ross,sandrinegasq-dion romance fantasy dirty ross,1.8835
13,strength of the mate,kendallmckenna romance war strength of the mate,1.73
14,tequila mockingbird,rhysford romance contemporary tequila mockingbird,1.826
15,of last resort,meganderr fantasy romance of last resort,1.4505
16,complementary colors,adriennewilder romance sociology complementary colors,1.8090000000000002
17,mark of cain,katesherwood romance contemporary mark of cain,1.5215
18,"wood, screws, & nails","pipervaughn romance contemporary wood, screws, & nails",1.2469999999999999
19,bad influence,k.a.mitchell romance contemporary bad influence,1.1564999999999999
20,the understatement of the year,sarinabowen romance newadult the understatement of the year,1.7505000000000002
21,the only one who knows,catgrant romance war the only one who knows,1.296
22,payoff,l.a.witt romance romance payoff,1.402
23,personal secrets,k.c.wells romance contemporary personal secrets,1.536
24,timber pack chronicles,robcolton romance fantasy timber pack chronicles,1.5299999999999998
25,remnant: a caldwell & feximal/whyborne & griffin mystery,k.j.charles romance historical remnant: a caldwell & feximal/whyborne & griffin mystery,1.721
26,the river leith,letablake romance contemporary the river leith,1.5514999999999999
27,tough love,heidicullinan romance erotica tough love,1.454
28,beneath the stain,amylane romance romance beneath the stain,1.902
29,fair play,joshlanyon romance mystery fair play,1.7045
30,1/27: an icos anthology,ais romance sciencefiction 1/27: an icos anthology,2.0305
31,wolf in gucci loafers,taralain romance fantasy wolf in gucci loafers,1.3885
32,bloodline,jordanl.hawk romance historical bloodline,1.9909999999999999
33,being sawyer knight,nicolahaken romance romance being sawyer knight,1.5574999999999999
34,salvation,alexaland romance contemporary salvation,1.8065
35,rack & ruin,charliecochet romance fantasy rack & ruin,1.9285
36,control,marycalmes romance fantasy control,1.488
37,last first kiss,dianeadams romance contemporary last first kiss,1.5750000000000002
