,original_title,cast,director,keywords,genres,imdb_id,final_numeric_weights,text
0,jurassic world,chrispratt brycedallashoward irrfankhan vincentd'onofrio nickrobinson,colintrevorrow,monster dna tyrannosaurusrex velociraptor island,action adventure sciencefiction thriller,tt0369610,1.768,chrispratt brycedallashoward irrfankhan vincentd'onofrio nickrobinsoncolintrevorrowaction adventure sciencefiction thrillermonster dna tyrannosaurusrex velociraptor island
1,mad max: fury road,tomhardy charlizetheron hughkeays-byrne nicholashoult joshhelman,georgemiller,future chase post-apocalyptic dystopia australia,action adventure sciencefiction thriller,tt1392190,1.496,tomhardy charlizetheron hughkeays-byrne nicholashoult joshhelmangeorgemilleraction adventure sciencefiction thrillerfuture chase post-apocalyptic dystopia australia
2,insurgent,shailenewoodley theojames katewinslet anselelgort milesteller,robertschwentke,basedonnovel revolution dystopia sequel dystopicfuture,adventure sciencefiction thriller,tt2908446,0.684,shailenewoodley theojames katewinslet anselelgort milestellerrobertschwentkeadventure sciencefiction thrillerbasedonnovel revolution dystopia sequel dystopicfuture
3,star wars: the force awakens,harrisonford markhamill carriefisher adamdriver daisyridley,j.j.abrams,android spaceship jedi spaceopera 3d,action adventure sciencefiction fantasy,tt2488496,1.693,harrisonford markhamill carriefisher adamdriver daisyridleyj.j.abramsaction adventure sciencefiction fantasyandroid spaceship jedi spaceopera 3d
4,furious 7,vindiesel paulwalker jasonstatham michellerodriguez dwaynejohnson,jameswan,carrace speed revenge suspense car,action crime thriller,tt2820852,1.3679999999999999,vindiesel paulwalker jasonstatham michellerodriguez dwaynejohnsonjameswanaction crime thrillercarrace speed revenge suspense car
5,the revenant,leonardodicaprio tomhardy willpoulter domhnallgleeson paulanderson,alejandrogonzã¡leziã±ã¡rritu,father-sonrelationship rape basedonnovel mountains winter,western drama adventure thriller,tt1663202,1.008,leonardodicaprio tomhardy willpoulter domhnallgleeson paulandersonalejandrogonzã¡leziã±ã¡rrituwestern drama adventure thrillerfather-sonrelationship rape basedonnovel mountains winter
7,the martian,mattdamon jessicachastain kristenwiig jeffdaniels michaelpeã±a,ridleyscott,basedonnovel mars nasa isolation botanist,drama adventure sciencefiction,tt3659388,1.162,mattdamon jessicachastain kristenwiig jeffdaniels michaelpeã±aridleyscottdrama adventure sciencefictionbasedonnovel mars nasa isolation botanist
8,minions,sandrabullock jonhamm michaelkeaton allisonjanney stevecoogan,kylebalda pierrecoffin,assistant aftercreditsstinger duringcreditsstinger evilmastermind minions,family animation adventure comedy,tt2293640,0.897,sandrabullock jonhamm michaelkeaton allisonjanney stevecoogankylebalda pierrecoffinfamily animation adventure comedyassistant aftercreditsstinger duringcreditsstinger evilmastermind minions
9,inside out,amypoehler phyllissmith richardkind billhader lewisblack,petedocter,dream cartoon imaginaryfriend animation kid,comedy animation family,tt2096673,1.353,amypoehler phyllissmith richardkind billhader lewisblackpetedoctercomedy animation familydream cartoon imaginaryfriend animation kid
10,spectre,danielcraig christophwaltz lã©aseydoux ralphfiennes monicabellucci,sammendes,spy basedonnovel secretagent sequel jamesbond,action adventure crime,tt2379713,0.585,danielcraig christophwaltz lã©aseydoux ralphfiennes monicabelluccisammendesaction adventure crimespy basedonnovel secretagent sequel jamesbond
12,ex machina,domhnallgleeson aliciavikander oscarisaac sonoyamizuno coreyjohnson,alexgarland,dancing artificialintelligence helicopter distrust isolation,drama sciencefiction,tt0470752,0.9570000000000001,domhnallgleeson aliciavikander oscarisaac sonoyamizuno coreyjohnsonalexgarlanddrama sciencefictiondancing artificialintelligence helicopter distrust isolation
14,avengers: age of ultron,robertdowneyjr. chrishemsworth markruffalo chrisevans scarlettjohansson,josswhedon,marvelcomic comic sequel superhero vision,action adventure sciencefiction,tt2395427,1.242,robertdowneyjr. chrishemsworth markruffalo chrisevans scarlettjohanssonjosswhedonaction adventure sciencefictionmarvelcomic comic sequel superhero vision
15,the hateful eight,samuell.jackson kurtrussell jenniferjasonleigh waltongoggins demiã¡nbichir,quentintarantino,bountyhunter wyoming mountains hangman voiceovernarration,crime drama mystery western,tt3460252,0.899,samuell.jackson kurtrussell jenniferjasonleigh waltongoggins demiã¡nbichirquentintarantinocrime drama mystery westernbountyhunter wyoming mountains hangman voiceovernarration
16,taken 3,liamneeson forestwhitaker maggiegrace famkejanssen dougrayscott,oliviermegaton,revenge murder ontherun fugitive framed,crime action thriller,tt2446042,0.40800000000000003,liamneeson forestwhitaker maggiegrace famkejanssen dougrayscottoliviermegatoncrime action thrillerrevenge murder ontherun fugitive framed
17,ant-man,paulrudd michaeldouglas evangelinelilly coreystoll bobbycannavale,peytonreed,marvelcomic superhero aftercreditsstinger duringcreditsstinger marvelcinematicuniverse,sciencefiction action adventure,tt0478970,0.8150000000000001,paulrudd michaeldouglas evangelinelilly coreystoll bobbycannavalepeytonreedsciencefiction action adventuremarvelcomic superhero aftercreditsstinger duringcreditsstinger marvelcinematicuniverse
18,cinderella,lilyjames cateblanchett richardmadden helenabonhamcarter hollidaygrainger,kennethbranagh,cinderella magic fairytale princess shoe,romance fantasy family drama,tt1661199,0.751,lilyjames cateblanchett richardmadden helenabonhamcarter hollidaygraingerkennethbranaghromance fantasy family dramacinderella magic fairytale princess shoe
19,the hunger games: mockingjay - part 2,jenniferlawrence joshhutcherson liamhemsworth woodyharrelson elizabethbanks,francislawrence,revolution strongwoman dystopia gameofdeath 3d,war adventure sciencefiction,tt1951266,0.639,jenniferlawrence joshhutcherson liamhemsworth woodyharrelson elizabethbanksfrancislawrencewar adventure sciencefictionrevolution strongwoman dystopia gameofdeath 3d
20,tomorrowland,brittrobertson georgeclooney raffeycassidy thomasrobinson hughlaurie,bradbird,inventor apocalypse destiny imax dreamer,action family sciencefiction adventure mystery,tt1964418,0.354,brittrobertson georgeclooney raffeycassidy thomasrobinson hughlauriebradbirdaction family sciencefiction adventure mysteryinventor apocalypse destiny imax dreamer
21,southpaw,jakegyllenhaal rachelmcadams forestwhitaker oonalaurence 50cent,antoinefuqua,sport,action drama,tt1798684,0.8230000000000001,jakegyllenhaal rachelmcadams forestwhitaker oonalaurence 50centantoinefuquaaction dramasport
22,san andreas,dwaynejohnson alexandradaddario carlagugino ioangruffudd archiepanjabi,bradpeyton,california earthquake catastrophe disasterfilm 3d,action drama thriller,tt2126355,0.41100000000000003,dwaynejohnson alexandradaddario carlagugino ioangruffudd archiepanjabibradpeytonaction drama thrillercalifornia earthquake catastrophe disasterfilm 3d
24,the big short,christianbale stevecarell ryangosling bradpitt melissaleo,adammckay,bank fraud biography wallstreet finances,comedy drama,tt1596363,0.817,christianbale stevecarell ryangosling bradpitt melissaleoadammckaycomedy dramabank fraud biography wallstreet finances
25,mission: impossible - rogue nation,tomcruise jeremyrenner simonpegg rebeccaferguson vingrhames,christophermcquarrie,spy sequel mission,action,tt2381249,0.875,tomcruise jeremyrenner simonpegg rebeccaferguson vingrhameschristophermcquarrieactionspy sequel mission
26,ted 2,markwahlberg sethmacfarlane amandaseyfried jessicabarth giovanniribisi,sethmacfarlane,spermbank sequel buddy courthouse teddybear,comedy,tt2637276,0.41100000000000003,markwahlberg sethmacfarlane amandaseyfried jessicabarth giovanniribisisethmacfarlanecomedyspermbank sequel buddy courthouse teddybear
27,kingsman: the secret service,taronegerton colinfirth samuell.jackson michaelcaine markstrong,matthewvaughn,spy greatbritain secretorganization secretagent marvelcomic,crime comedy action adventure,tt2802144,1.0110000000000001,taronegerton colinfirth samuell.jackson michaelcaine markstrongmatthewvaughncrime comedy action adventurespy greatbritain secretorganization secretagent marvelcomic
28,spotlight,markruffalo michaelkeaton rachelmcadams lievschreiber johnslattery,tommccarthy,childabuse journalism judge florida boston,drama thriller history,tt1895587,0.994,markruffalo michaelkeaton rachelmcadams lievschreiber johnslatterytommccarthydrama thriller historychildabuse journalism judge florida boston
29,maze runner: the scorch trials,dylano'brien kayascodelario thomasbrodie-sangster giancarloesposito aidangillen,wesball,basedonnovel resistance maze post-apocalyptic dystopia,action sciencefiction thriller,tt4046784,0.47,dylano'brien kayascodelario thomasbrodie-sangster giancarloesposito aidangillenwesballaction sciencefiction thrillerbasedonnovel resistance maze post-apocalyptic dystopia
30,mr. holmes,ianmckellen miloparker lauralinney hattiemorahan patrickkennedy,billcondon,london detective sherlockholmes,mystery drama,tt3168230,0.394,ianmckellen miloparker lauralinney hattiemorahan patrickkennedybillcondonmystery dramalondon detective sherlockholmes
31,chappie,sharltocopley devpatel ninja yolandivisser josepablocantillo,neillblomkamp,artificialintelligence android robot nearfuture robotcop,crime action sciencefiction,tt1823672,0.484,sharltocopley devpatel ninja yolandivisser josepablocantilloneillblomkampcrime action sciencefictionartificialintelligence android robot nearfuture robotcop
32,pitch perfect 2,annakendrick rebelwilson haileesteinfeld brittanysnow skylarastin,elizabethbanks,music sequel singer malefemalerelationship audition,comedy music,tt2848292,0.637,annakendrick rebelwilson haileesteinfeld brittanysnow skylarastinelizabethbankscomedy musicmusic sequel singer malefemalerelationship audition
33,bridge of spies,tomhanks markrylance amyryan alanalda sebastiankoch,stevenspielberg,spy cia coldwar pilot lawyer,thriller drama,tt3682448,0.709,tomhanks markrylance amyryan alanalda sebastiankochstevenspielbergthriller dramaspy cia coldwar pilot lawyer
34,goosebumps,jackblack dylanminnette odeyarush amyryan jillianbell,robletterman,basedonnovel magic fantasy family 3d,adventure horror comedy,tt1051904,0.323,jackblack dylanminnette odeyarush amyryan jillianbellroblettermanadventure horror comedybasedonnovel magic fantasy family 3d
35,room,brielarson jacobtremblay joanallen seanbridgers williamh.macy,lennyabrahamson,basedonnovel carpet isolation imprisonment grandparents,drama thriller,tt3170832,1.05,brielarson jacobtremblay joanallen seanbridgers williamh.macylennyabrahamsondrama thrillerbasedonnovel carpet isolation imprisonment grandparents
36,solace,abbiecornish jeffreydeanmorgan colinfarrell anthonyhopkins marleyshelton,afonsopoyart,thriller serialkiller psychic fbiagent intrigue,crime drama mystery,tt1291570,0.291,abbiecornish jeffreydeanmorgan colinfarrell anthonyhopkins marleysheltonafonsopoyartcrime drama mysterythriller serialkiller psychic fbiagent intrigue
37,the good dinosaur,raymondochoa jackbright jeffreywright francesmcdormand maleahnipay-padilla,petersohn,tyrannosaurusrex friends animation alternatehistory dinosaur,adventure animation comedy family fantasy,tt1979388,0.502,raymondochoa jackbright jeffreywright francesmcdormand maleahnipay-padillapetersohnadventure animation comedy family fantasytyrannosaurusrex friends animation alternatehistory dinosaur
38,run all night,liamneeson edharris joelkinnaman boydholbrook brucemcgill,jaumecollet-serra,hitman revenge murder ontherun mobster,action crime drama mystery thriller,tt2199571,0.32799999999999996,liamneeson edharris joelkinnaman boydholbrook brucemcgilljaumecollet-serraaction crime drama mystery thrillerhitman revenge murder ontherun mobster
